abc;il;nüfus
1;Adana;2201670
2;Ad?yaman;610484
3;Afyonkarahisar;714523
4;A?r?;542255
5;Aksaray;396673
6;Amasya;326351
7;Ankara;5346518
8;Antalya;2328555
9;Ardahan;98335
10;Artvin;168068
11;Ayd?n;1068260
12;Bal?kesir;1196176
13;Bart?n;192389
14;Batman;576899
15;Bayburt;90154
16;Bilecik;218297
17;Bingöl;269560
18;Bitlis;341225
19;Bolu;299896
20;Burdur;261401
21;Bursa;2901396
22;Çanakkale;519793
23;Çank?r?;183880
24;Çorum;527863
25;Denizli;1005687
26;Diyarbak?r;1673119
27;Düzce;370371
28;Edirne;401701
29;Elaz??;578789
30;Erzincan;226032
31;Erzurum;762021
32;Eski?ehir;844842
33;Gaziantep;1974244
34;Giresun;444467
35;Gümü?hane;172034
36;Hakkari;267813
37;Hatay;1555165
38;I?d?r;192785
39;Isparta;427324
40;?stanbul;14804116
41;?zmir;4223545
42;Kahramanmara?;1112634
43;Karabük;242347
44;Karaman;245610
45;Kars;289786
46;Kastamonu;376945
47;Kayseri;1358980
48;K?r?kkale;277984
49;K?rklareli;351684
50;K?r?ehir;229975
51;Kilis;130825
52;Kocaeli;1830772
53;Konya;2161303
54;Kütahya;573642
55;Malatya;781305
56;Manisa;1396945
57;Mardin;796237
58;Mersin;1773852
59;Mu?la;923773
60;Mu?;406501
61;Nev?ehir;290895
62;Ni?de;351468
63;Ordu;750588
64;Osmaniye;522175
65;Rize;331048
66;Sakarya;976948
67;Samsun;1295927
68;Siirt;322664
69;Sinop;205478
70;Sivas;621224
71;?anl?urfa;1940627
72;??rnak;483788
73;Tekirda?;972875
74;Tokat;602662
75;Trabzon;779379
76;Tunceli;82193
77;U?ak;358736
78;Van;1100190
79;Yalova;241665
80;Yozgat;421041
81;Zonguldak;597524
